             x                y                z         azimuth        dip        iRx
  -3751.66602       1298.07617       790.000000       30.0000000               0         271
  -3578.46094       1398.07617       790.000000       30.0000000               0         272
  -3405.25586       1498.07617       790.000000       30.0000000               0         273
  -3232.05078       1598.07617       790.000000       30.0000000               0         274
  -3058.84570       1698.07617       790.000000       30.0000000               0         275
  -2885.64062       1798.07617       790.000000       30.0000000               0         276
  -2712.43555       1898.07617       790.000000       30.0000000               0         277
  -2539.23047       1998.07617       790.000000       30.0000000               0         278
  -2366.02539       2098.07617       790.000000       30.0000000               0         279
  -2192.82031       2198.07617       790.000000       30.0000000               0         280
  -2019.61523       2298.07617       790.000000       30.0000000               0         281
  -1846.41016       2398.07617       790.000000       30.0000000               0         282
  -1673.20508       2498.07617       790.000000       30.0000000               0         283
  -1500.00000       2598.07617       790.000000       30.0000000               0         284
  -1326.79492       2698.07617       790.000000       30.0000000               0         285
  -1153.58984       2798.07617       790.000000       30.0000000               0         286
  -980.384766       2898.07617       790.000000       30.0000000               0         287
  -807.179688       2998.07617       790.000000       30.0000000               0         288
  -633.974609       3098.07617       790.000000       30.0000000               0         289
  -460.769531       3198.07617       790.000000       30.0000000               0         290
  -287.564453       3298.07617       790.000000       30.0000000               0         291
  -114.359375       3398.07617       790.000000       30.0000000               0         292
   58.8457031       3498.07617       790.000000       30.0000000               0         293
   232.050781       3598.07617       790.000000       30.0000000               0         294
   405.255859       3698.07617       790.000000       30.0000000               0         295
   578.460938       3798.07617       790.000000       30.0000000               0         296
   751.666016       3898.07617       790.000000       30.0000000               0         297
   924.871094       3998.07617       790.000000       30.0000000               0         298
   1098.07617       4098.07617       790.000000       30.0000000               0         299
   1271.28125       4198.07617       790.000000       30.0000000               0         300
   1444.48633       4298.07617       790.000000       30.0000000               0         301
   1617.69141       4398.07617       790.000000       30.0000000               0         302
   1790.89648       4498.07617       790.000000       30.0000000               0         303
   1964.10156       4598.07617       790.000000       30.0000000               0         304
   2137.30664       4698.07617       790.000000       30.0000000               0         305
   2310.51172       4798.07617       790.000000       30.0000000               0         306
   2483.71680       4898.07617       790.000000       30.0000000               0         307
   2656.92188       4998.07617       790.000000       30.0000000               0         308
   2830.12695       5098.07617       790.000000       30.0000000               0         309
   3003.33203       5198.07617       790.000000       30.0000000               0         310
   3176.53711       5298.07617       790.000000       30.0000000               0         311
   3349.74219       5398.07617       790.000000       30.0000000               0         312
   3522.94727       5498.07617       790.000000       30.0000000               0         313
   3696.15234       5598.07617       790.000000       30.0000000               0         314
   3869.35742       5698.07617       790.000000       30.0000000               0         315
   4042.56250       5798.07617       790.000000       30.0000000               0         316
   4215.76758       5898.07617       790.000000       30.0000000               0         317
   4388.97266       5998.07617       790.000000       30.0000000               0         318
   4562.17773       6098.07617       790.000000       30.0000000               0         319
   4735.38281       6198.07617       790.000000       30.0000000               0         320
   4908.58789       6298.07617       790.000000       30.0000000               0         321
   5081.79297       6398.07617       790.000000       30.0000000               0         322
   5254.99805       6498.07617       790.000000       30.0000000               0         323
   5428.20312       6598.07617       790.000000       30.0000000               0         324
  -9928.20312       1196.15234       790.000000       30.0000000               0         325
  -9754.99805       1296.15234       790.000000       30.0000000               0         326
  -9581.79297       1396.15234       790.000000       30.0000000               0         327
  -9408.58789       1496.15234       790.000000       30.0000000               0         328
  -9235.38281       1596.15234       790.000000       30.0000000               0         329
  -9062.17773       1696.15234       790.000000       30.0000000               0         330
  -8888.97266       1796.15234       790.000000       30.0000000               0         331
  -8715.76758       1896.15234       790.000000       30.0000000               0         332
  -8542.56250       1996.15234       790.000000       30.0000000               0         333
  -8369.35742       2096.15234       790.000000       30.0000000               0         334
  -8196.15234       2196.15234       790.000000       30.0000000               0         335
  -8022.94727       2296.15234       790.000000       30.0000000               0         336
  -7849.74219       2396.15234       790.000000       30.0000000               0         337
  -7676.53711       2496.15234       790.000000       30.0000000               0         338
  -7503.33203       2596.15234       790.000000       30.0000000               0         339
  -7330.12695       2696.15234       790.000000       30.0000000               0         340
  -7156.92188       2796.15234       790.000000       30.0000000               0         341
  -6983.71680       2896.15234       790.000000       30.0000000               0         342
  -6810.51172       2996.15234       790.000000       30.0000000               0         343
  -6637.30664       3096.15234       790.000000       30.0000000               0         344
  -6464.10156       3196.15234       790.000000       30.0000000               0         345
  -6290.89648       3296.15234       790.000000       30.0000000               0         346
  -6117.69141       3396.15234       790.000000       30.0000000               0         347
  -5944.48633       3496.15234       790.000000       30.0000000               0         348
  -5771.28125       3596.15234       790.000000       30.0000000               0         349
