iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 83 Hy 0.25 4.845857e-11 -2.314580e-10
1 84 Hy 0.25 5.279363e-11 -2.043742e-10
1 85 Hy 0.25 5.557938e-11 -1.801844e-10
1 86 Hy 0.25 5.714876e-11 -1.586581e-10
1 87 Hy 0.25 5.772661e-11 -1.393032e-10
1 88 Hy 0.25 5.751742e-11 -1.220721e-10
1 89 Hy 0.25 5.656986e-11 -1.068335e-10
1 90 Hy 0.25 5.525726e-11 -9.289750e-11
1 91 Hy 0.25 5.333767e-11 -8.112758e-11
1 92 Hy 0.25 5.135345e-11 -6.971463e-11
1 93 Hy 0.25 4.891344e-11 -6.081852e-11
1 94 Hy 0.25 4.647344e-11 -5.192241e-11
1 95 Hy 0.25 4.389106e-11 -4.480289e-11
1 96 Hy 0.25 4.126277e-11 -3.825602e-11
1 97 Hy 0.25 3.864907e-11 -3.220801e-11
1 98 Hy 0.25 3.607567e-11 -2.753958e-11
1 99 Hy 0.25 3.350227e-11 -2.287114e-11
1 100 Hy 0.25 3.106920e-11 -1.915002e-11
1 101 Hy 0.25 2.871308e-11 -1.594834e-11
