iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 90 Hy 0.25 5.726109e-11 -5.438882e-11
1 91 Hy 0.25 5.328323e-11 -4.551724e-11
1 92 Hy 0.25 4.932491e-11 -3.697030e-11
1 93 Hy 0.25 4.550440e-11 -3.071226e-11
1 94 Hy 0.25 4.168390e-11 -2.445422e-11
1 95 Hy 0.25 3.814285e-11 -1.973396e-11
1 96 Hy 0.25 3.469188e-11 -1.550938e-11
1 97 Hy 0.25 3.137167e-11 -1.169099e-11
1 98 Hy 0.25 2.841306e-11 -8.995848e-12
1 99 Hy 0.25 2.545445e-11 -6.300710e-12
1 100 Hy 0.25 2.284670e-11 -4.324389e-12
1 101 Hy 0.25 2.043133e-11 -2.742213e-12
