iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 84 Hx 0.25 2.985763e-13 -9.089055e-13
1 85 Hx 0.25 2.845772e-13 -7.783121e-13
1 86 Hx 0.25 2.697004e-13 -6.667207e-13
1 87 Hx 0.25 2.542809e-13 -5.712105e-13
1 88 Hx 0.25 2.386168e-13 -4.893652e-13
1 89 Hx 0.25 2.229619e-13 -4.191531e-13
1 90 Hx 0.25 2.075282e-13 -3.588792e-13
1 91 Hx 0.25 1.924851e-13 -3.071147e-13
1 92 Hx 0.25 1.779670e-13 -2.626355e-13
1 93 Hx 0.25 1.640768e-13 -2.244114e-13
1 94 Hx 0.25 1.508923e-13 -1.915725e-13
1 95 Hx 0.25 1.384646e-13 -1.633733e-13
1 96 Hx 0.25 1.268181e-13 -1.391723e-13
1 97 Hx 0.25 1.159458e-13 -1.184141e-13
1 98 Hx 0.25 1.058330e-13 -1.006223e-13
1 99 Hx 0.25 9.646868e-14 -8.538747e-14
1 100 Hx 0.25 8.782517e-14 -7.235813e-14
1 101 Hx 0.25 7.985807e-14 -6.122135e-14
1 1 Hy 0.25 2.980820e-11 -1.710776e-11
1 2 Hy 0.25 3.220579e-11 -2.059726e-11
1 3 Hy 0.25 3.468281e-11 -2.459735e-11
1 4 Hy 0.25 3.721903e-11 -2.917661e-11
1 5 Hy 0.25 3.979048e-11 -3.440842e-11
1 6 Hy 0.25 4.237119e-11 -4.036864e-11
1 7 Hy 0.25 4.492968e-11 -4.713886e-11
1 8 Hy 0.25 4.742531e-11 -5.480949e-11
1 9 Hy 0.25 4.980921e-11 -6.348016e-11
1 10 Hy 0.25 5.202322e-11 -7.326102e-11
1 11 Hy 0.25 5.399672e-11 -8.427387e-11
1 12 Hy 0.25 5.564089e-11 -9.665305e-11
1 13 Hy 0.25 5.685283e-11 -1.105467e-10
1 14 Hy 0.25 5.751575e-11 -1.261191e-10
1 15 Hy 0.25 5.749401e-11 -1.435515e-10
1 16 Hy 0.25 5.662772e-11 -1.630439e-10
1 17 Hy 0.25 5.473124e-11 -1.848184e-10
1 18 Hy 0.25 5.158953e-11 -2.091227e-10
1 19 Hy 0.25 4.695263e-11 -2.362322e-10
1 20 Hy 0.25 4.052877e-11 -2.664510e-10
1 21 Hy 0.25 3.198479e-11 -3.001253e-10
1 22 Hy 0.25 2.094243e-11 -3.376556e-10
1 23 Hy 0.25 6.971873e-12 -3.795056e-10
1 24 Hy 0.25 -1.041490e-11 -4.262175e-10
1 25 Hy 0.25 -3.177126e-11 -4.784367e-10
1 26 Hy 0.25 -5.772371e-11 -5.369474e-10
1 27 Hy 0.25 -8.898062e-11 -6.027210e-10
1 28 Hy 0.25 -1.263434e-10 -6.769874e-10
1 29 Hy 0.25 -1.707326e-10 -7.613452e-10
1 30 Hy 0.25 -2.232288e-10 -8.579192e-10
1 31 Hy 0.25 -2.851406e-10 -9.695867e-10
1 32 Hy 0.25 -3.581306e-10 -1.100306e-09
1 33 Hy 0.25 -4.444499e-10 -1.255592e-09
1 34 Hy 0.25 -5.473520e-10 -1.443184e-09
1 35 Hy 0.25 -6.718179e-10 -1.673985e-09
1 36 Hy 0.25 -8.258105e-10 -1.963335e-09
1 37 Hy 0.25 -1.022442e-09 -2.332711e-09
1 38 Hy 0.25 -1.283629e-09 -2.811902e-09
1 39 Hy 0.25 -1.646247e-09 -3.441678e-09
1 40 Hy 0.25 -2.172559e-09 -4.276876e-09
1 41 Hy 0.25 -2.968192e-09 -5.389692e-09
1 42 Hy 0.25 -4.214161e-09 -6.872877e-09
1 43 Hy 0.25 -6.227138e-09 -8.842610e-09
1 44 Hy 0.25 -9.581886e-09 -1.144164e-08
1 45 Hy 0.25 -1.538460e-08 -1.484581e-08
1 46 Hy 0.25 -2.595295e-08 -1.928403e-08
1 47 Hy 0.25 -4.673700e-08 -2.509778e-08
1 48 Hy 0.25 -9.275269e-08 -3.290911e-08
1 49 Hy 0.25 -2.174734e-07 -4.413478e-08
1 50 Hy 0.25 -8.394656e-07 -6.456584e-08
1 51 Hy 0.25 -4.558160e-06 -1.057601e-07
1 52 Hy 0.25 -8.394656e-07 -6.456585e-08
1 53 Hy 0.25 -2.174735e-07 -4.413479e-08
1 54 Hy 0.25 -9.275271e-08 -3.290913e-08
1 55 Hy 0.25 -4.673703e-08 -2.509780e-08
1 56 Hy 0.25 -2.595299e-08 -1.928406e-08
1 57 Hy 0.25 -1.538465e-08 -1.484585e-08
1 58 Hy 0.25 -9.581935e-09 -1.144167e-08
1 59 Hy 0.25 -6.227192e-09 -8.842654e-09
1 60 Hy 0.25 -4.214217e-09 -6.872928e-09
1 61 Hy 0.25 -2.968248e-09 -5.389751e-09
1 62 Hy 0.25 -2.172614e-09 -4.276942e-09
1 63 Hy 0.25 -1.646299e-09 -3.441750e-09
1 64 Hy 0.25 -1.283677e-09 -2.811979e-09
1 65 Hy 0.25 -1.022484e-09 -2.332791e-09
1 66 Hy 0.25 -8.258458e-10 -1.963416e-09
1 67 Hy 0.25 -6.718444e-10 -1.674064e-09
1 68 Hy 0.25 -5.473700e-10 -1.443260e-09
1 69 Hy 0.25 -4.444577e-10 -1.255665e-09
1 70 Hy 0.25 -3.581268e-10 -1.100375e-09
1 71 Hy 0.25 -2.851241e-10 -9.696506e-10
1 72 Hy 0.25 -2.231997e-10 -8.579770e-10
1 73 Hy 0.25 -1.706909e-10 -7.613954e-10
1 74 Hy 0.25 -1.262899e-10 -6.770283e-10
1 75 Hy 0.25 -8.891636e-11 -6.027505e-10
1 76 Hy 0.25 -5.764992e-11 -5.369652e-10
1 77 Hy 0.25 -3.168847e-11 -4.784425e-10
1 78 Hy 0.25 -1.032426e-11 -4.262113e-10
1 79 Hy 0.25 7.068450e-12 -3.794877e-10
1 80 Hy 0.25 2.104268e-11 -3.376267e-10
1 81 Hy 0.25 3.208570e-11 -3.000865e-10
1 82 Hy 0.25 4.062663e-11 -2.664034e-10
1 83 Hy 0.25 4.704360e-11 -2.361769e-10
1 84 Hy 0.25 5.167291e-11 -2.090611e-10
1 85 Hy 0.25 5.480643e-11 -1.847506e-10
1 86 Hy 0.25 5.669436e-11 -1.629700e-10
1 87 Hy 0.25 5.755130e-11 -1.434720e-10
1 88 Hy 0.25 5.756344e-11 -1.260347e-10
1 89 Hy 0.25 5.689007e-11 -1.104585e-10
1 90 Hy 0.25 5.566697e-11 -9.656265e-11
1 91 Hy 0.25 5.401071e-11 -8.418295e-11
1 92 Hy 0.25 5.202549e-11 -7.317028e-11
1 93 Hy 0.25 4.979927e-11 -6.339011e-11
1 94 Hy 0.25 4.740320e-11 -5.472084e-11
1 95 Hy 0.25 4.489571e-11 -4.705276e-11
1 96 Hy 0.25 4.232668e-11 -4.028589e-11
1 97 Hy 0.25 3.973685e-11 -3.433049e-11
1 98 Hy 0.25 3.715839e-11 -2.910529e-11
1 99 Hy 0.25 3.461712e-11 -2.453479e-11
1 100 Hy 0.25 3.213648e-11 -2.054294e-11
1 101 Hy 0.25 2.973517e-11 -1.706238e-11
